#{"t_start": 1760973967.053124, "env_id": "Pendulum-v1"}
r,l,t
-773.675396,200,2.015442
-1171.337024,200,2.307305
-1187.953278,200,2.601144
-1169.239101,200,2.882755
-1705.13361,200,3.140094
-1141.444374,200,3.435537
-1024.861333,200,3.726404
-870.731412,200,4.01322
-1167.27068,200,4.335484
-1679.579602,200,4.648907
-1069.96397,200,4.932966
-1532.360403,200,5.201521
-1433.229382,200,5.490105
-1505.571285,200,5.772062
-1146.436616,200,6.071307
-1467.181958,200,6.35168
-1151.218246,200,6.719628
-1305.250146,200,7.097986
-860.791555,200,7.436349
-1313.823609,200,7.735663
-1290.222663,200,8.05914
-1093.575471,200,8.358781
-1430.594621,200,8.640241
-1408.667983,200,8.961287
-1686.604664,200,9.315843
-1582.099649,200,9.635481
-1376.006803,200,9.945117
-1313.040829,200,10.243764
-1043.066988,200,10.615778
-1054.320039,200,10.91363
-1620.200036,200,11.221483
-1686.689984,200,11.494801
-1705.369325,200,11.856591
-1358.066782,200,12.148919
-1182.866625,200,12.477186
-853.222935,200,12.817821
-1397.082414,200,13.204325
-1288.513435,200,13.486891
-1290.157814,200,13.759286
-952.865107,200,14.02738
-1543.210019,200,14.366544
-1065.026004,200,14.646664
-1242.369963,200,14.996801
-1312.968011,200,15.36713
-1159.314125,200,15.770292
-1658.930648,200,16.197402
-868.438988,200,16.742879
-1230.683354,200,17.059063
-987.528184,200,17.459773
-1119.189076,200,17.758939
-1862.65283,200,17.962445
-957.361064,200,18.068008
-1053.513485,200,18.159538
-1361.264442,200,18.253044
-1080.694667,200,18.343727
