#{"t_start": 1760974050.6236854, "env_id": "Pendulum-v1"}
r,l,t
-937.112075,200,0.15714
-1652.48701,200,0.50172
-1460.532108,200,0.843527
-1083.690311,200,1.197665
-990.192412,200,1.339096
-874.655621,200,1.702301
-853.692995,200,2.119018
-870.926416,200,2.44811
-1575.745806,200,2.778331
-963.560248,200,2.928878
-1783.974328,200,3.263825
-1470.368392,200,3.602211
-1290.421084,200,3.920133
-1319.409984,200,4.057426
-894.315486,200,4.401275
-1642.635561,200,4.821691
-1778.732676,200,5.141756
-1416.485012,200,5.481833
-1442.343122,200,5.637871
-973.303861,200,5.975794
-1172.335306,200,6.306642
-1325.806566,200,6.645011
-1052.601604,200,6.782027
-1500.279051,200,7.087854
-1777.022574,200,7.426992
-1169.036679,200,7.768925
-1307.49201,200,8.144994
-893.535974,200,8.330386
-1208.772508,200,8.664522
-1069.866924,200,9.003777
-1316.993777,200,9.320163
-887.503101,200,9.485288
-1588.954368,200,9.832703
-1714.044458,200,10.18979
-1493.218063,200,10.507278
-1657.725039,200,10.823745
-1080.408121,200,10.998272
-1267.330995,200,11.358402
-991.797943,200,11.737753
-1684.59347,200,12.071161
-1566.319911,200,12.406977
-1837.469284,200,12.543414
-1489.285599,200,12.881443
-1693.108278,200,13.227988
-1073.647127,200,13.554396
-877.59708,200,13.69813
-1053.012938,200,14.02208
-879.030123,200,14.357898
-884.814947,200,14.714307
-1678.590365,200,15.068388
-1312.309893,200,15.227441
-1402.192514,200,15.573964
-1475.815842,200,15.917706
-1353.669599,200,16.254569
-1173.241666,200,16.393975
-859.964094,200,16.72087
-1025.186262,200,17.042386
-1380.044635,200,17.374211
-760.346871,200,17.683048
-1271.196337,200,17.837524
-1198.808241,200,18.160954
-971.948385,200,18.506222
-1277.906531,200,18.837249
-932.386858,200,18.981008
-1179.700231,200,19.316145
-994.371336,200,19.635647
-1048.517547,200,19.969309
-1370.582807,200,20.296591
-1101.913781,200,20.441129
-893.638351,200,20.761986
-951.655012,200,21.084375
-1110.374902,200,21.398425
-929.400938,200,21.736635
-1252.158523,200,21.902169
-1051.539578,200,22.240136
-1050.99346,200,22.54557
-1193.083534,200,22.879474
-1563.472887,200,23.041105
-979.52449,200,23.367997
-1693.031835,200,23.698635
-1110.716192,200,24.027954
-1048.607809,200,24.337303
-1027.276303,200,24.491797
-1172.022448,200,24.817615
-1044.087736,200,25.134881
-985.013055,200,25.458041
-1179.057413,200,25.615072
-1055.442743,200,25.954089
-1351.944252,200,26.293895
-1372.879827,200,26.671116
-1305.172934,200,26.990747
-897.587171,200,27.134669
-911.55829,200,27.477201
-1291.113232,200,27.844877
-1173.421819,200,28.172665
-1027.875717,200,28.327795
-886.385701,200,28.663703
-979.136358,200,29.005193
-1047.999235,200,29.30629
-1205.447075,200,29.629777
-1116.572197,200,29.784116
-1205.896173,200,30.156427
-1025.89074,200,30.476986
-1431.591949,200,30.80425
-1057.267805,200,31.120996
-953.091003,200,31.260426
-1060.100944,200,31.592199
-981.339109,200,31.930002
-1263.044137,200,32.262551
-1044.821108,200,32.407925
-1073.971182,200,32.753499
-1491.868927,200,33.073736
-878.862362,200,33.390472
-885.937522,200,33.755088
-1358.959118,200,33.914037
-970.870473,200,34.237976
-974.627275,200,34.571354
-895.59691,200,34.921608
-935.562793,200,35.06753
-1723.169701,200,35.390585
-897.3382,200,35.694609
-1500.876539,200,36.018792
-1067.493602,200,36.389408
-1056.609145,200,36.546756
-1140.343735,200,36.849746
-1681.14752,200,37.196975
-1709.110647,200,37.518005
-1538.448122,200,37.67166
-868.703408,200,38.004582
-1093.951837,200,38.349427
-1170.464948,200,38.662514
-1456.754051,200,39.003714
-1315.754113,200,39.154724
-1675.070785,200,39.506128
-1206.888459,200,40.12303
-1717.07846,200,40.490083
-1194.354375,200,40.840387
-1042.643909,200,40.984651
-1727.346402,200,41.322682
-1465.557072,200,41.649
-1072.300291,200,41.972178
-1096.697151,200,42.120037
-1310.429779,200,42.435163
-1512.751085,200,42.93245
-937.044629,200,43.444436
-1054.672744,200,43.840607
-1000.546172,200,44.018896
-1021.561528,200,44.363832
-890.061033,200,44.682241
-894.84704,200,45.042669
-1174.990915,200,45.192805
-982.470658,200,45.507274
-1414.743039,200,45.859952
-1180.731199,200,46.181987
-1030.063465,200,46.518133
-1846.700932,200,46.67062
-1285.632579,200,47.003913
-1095.197585,200,47.315438
-1301.918835,200,47.634774
-1158.488693,200,47.769913
-894.504935,200,48.129675
-1470.517363,200,48.462945
-1087.357964,200,48.808187
-870.60243,200,49.167166
-893.382753,200,49.304514
-1049.40886,200,49.635819
-1033.281013,200,49.994898
-954.894747,200,50.323808
-1426.708595,200,50.638244
-1193.058818,200,50.770911
-1117.969403,200,51.10577
-1399.215547,200,51.436368
-871.153811,200,51.763223
-1070.740781,200,51.910545
