#{"t_start": 1760973985.3986852, "env_id": "Pendulum-v1"}
r,l,t
-950.082148,200,0.283646
-982.935769,200,0.554867
-1255.436276,200,0.841191
-1786.001892,200,1.145508
-933.237946,200,1.436592
-1436.916566,200,1.742248
-1083.01051,200,2.039257
-1620.116956,200,2.33698
-1192.105081,200,2.678739
-1170.904823,200,2.966478
-858.017351,200,3.266671
-1374.37139,200,3.566154
-1499.774108,200,3.848698
-865.020032,200,4.144346
-896.881774,200,4.435383
-1081.068873,200,4.71573
-763.538929,200,5.07138
-889.443699,200,5.349759
-864.50191,200,5.635172
-1558.263054,200,5.97389
-1676.59072,200,6.265867
-836.127445,200,6.551552
-1614.187558,200,6.92962
-991.268609,200,7.22018
-1680.336536,200,7.586684
-1317.366381,200,7.9168
-1297.250094,200,8.22656
-1181.945744,200,8.509944
-1481.918225,200,8.99121
-1052.95296,200,9.453853
-1179.232871,200,9.784098
-967.55314,200,10.056035
-872.431346,200,10.381768
-1299.238391,200,10.647927
-1230.322106,200,10.914321
-969.865113,200,11.170012
-864.938778,200,11.588996
-1471.617342,200,11.916766
-1571.421306,200,12.19403
-1007.446232,200,12.461105
-1189.87617,200,12.765041
-1265.954393,200,13.044967
-1072.481878,200,13.307039
-1692.522989,200,13.577019
-873.220797,200,13.858006
-1551.877441,200,14.165555
-1565.316108,200,14.453127
-1764.62762,200,14.744066
-882.836541,200,15.087887
-922.06317,200,15.357783
-1299.276238,200,15.536337
-1818.108069,200,15.64789
-1195.824526,200,15.734847
-1280.373472,200,15.822817
-1163.198139,200,15.91724
